datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-05-12,0.0,0.0,0.0,0.0,0.0,13528.238881747391,85923.53123610666,81.519,99451.77011785406,0.003935212011966671,0.9945177011785407,0.02306404446597976
2017-05-15,0.0,0.0,0.0,0.0,0.0,13511.720902072777,85923.53123610666,81.519,99435.25213817944,-0.00016609035369652414,0.9943525213817944,0.023229224262726
2017-05-16,0.0,0.0,0.0,0.0,0.0,13574.482845662906,85923.53123610666,81.519,99498.01408176956,0.0006311840342387853,0.9949801408176957,0.022601604826824717
2017-05-17,13869.418507820876,14135.90893811679,0.0,0.0,0.0,13353.137328381525,57596.25638940581,92.881,98954.721163725,-0.0054603393148939805,0.9895472116372501,0.028034534007270295
2017-05-18,13751.45910341186,14135.90893811679,0.0,0.0,0.0,13419.208651882356,57596.25638940581,92.881,98902.83308281683,-0.0005243618525520022,0.9890283308281683,0.028553414816352096
2017-05-19,13945.258416556242,14205.584833272767,0.0,0.0,0.0,13548.046474149078,57596.25638940581,92.881,99295.14611338389,0.003966651089140738,0.9929514611338389,0.0246302845106815
2017-05-22,14248.595677633173,14372.812977930053,0.0,0.0,0.0,14152.600951965034,57596.25638940581,92.881,100370.26599693407,0.010827517009970755,1.0037026599693408,0.013879085675179592
2017-05-23,14320.223368104635,14493.587725383599,0.0,0.0,0.0,14261.61843709802,57596.25638940581,92.881,100671.68591999206,0.003003079847045509,1.0067168591999207,0.010864886444599708
2017-05-24,14219.108270902447,14335.651099940093,0.0,0.0,0.0,14215.368008506512,57596.25638940581,92.881,100366.38376875487,-0.0030326516184483454,1.0036638376875489,0.013917907956971565
2017-05-25,14151.695478590098,14145.187639426287,0.0,0.0,0.0,15028.04638218482,57596.25638940581,92.881,100921.18588960703,0.005527768362467267,1.0092118588960706,0.00836988674844985
2017-05-26,14353.92320697915,14693.341950829334,0.0,0.0,0.0,14925.630246090232,57596.25638940581,92.881,101569.15179330453,0.006420514166433522,1.0156915179330455,0.0018902277114749566
2017-05-31,14358.143260402001,14679.412662659948,0.0,0.0,0.0,14889.286336441002,57596.25638940581,92.881,101523.09864890875,-0.0004534166484868596,1.0152309864890878,0.0023507591554325913
2017-06-01,14311.795173957426,14902.392941005754,0.0,0.0,0.0,15186.610495293391,57596.25638940581,92.881,101997.05499966239,0.004668458282510501,1.019970549996624,0.0
2017-06-02,14113.77717593055,14307.787462659622,0.0,0.0,0.0,14852.9454761013,57596.25638940581,92.881,100870.76650409728,-0.011042362895368307,1.008707665040973,0.011262884955651087
2017-06-05,14016.871981840612,14553.995869317072,0.0,0.0,0.0,14757.143977780446,57596.25638940581,92.881,100924.26821834395,0.0005303986090410273,1.0092426821834397,0.010727867813184355
2017-06-06,14433.972041404244,14855.947621617795,0.0,0.0,0.0,15206.425226183972,57596.25638940581,92.881,102092.60127861182,0.011576334224591589,1.0209260127861184,0.0
